,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Club_Name
891,Chris Seitz,DC,GK,7,7,630,27,17,10,1.43,0/1,4,2,1,3,57.1,63.0,2015,reg,DC United
892,Brian Rowe ,ORL,GK,7,7,630,22,13,9,1.29,0/0,3,3,1,2,42.9,59.1,2015,reg,Orlando City SC
893,Andre Blake,PHI,GK,6,6,540,34,26,9,1.5,1/1,2,3,1,2,33.3,76.5,2015,reg,Philadelphia Union
894,Rais MBolhi,ALG,GK,5,5,450,20,10,9,1.8,1/1,0,3,2,1,0.0,50.0,2015,reg,
895,Troy Perkins,SEA,GK,4,3,316,15,12,3,1.0,0/0,1,3,0,0,25.0,80.0,2015,reg,Seattle Sounders FC
896,Eric Kronberg,MTL,GK,3,3,270,11,6,5,1.67,0/0,0,1,2,0,0.0,54.5,2015,reg,CF Montreal
897,Brad Knighton,NE,GK,3,3,270,16,9,6,2.0,2/2,1,1,1,1,33.3,56.3,2015,reg,New England Revolution
898,Joe Willis,NSH,GK,3,3,270,10,5,5,1.67,0/0,1,1,1,0,33.3,50.0,2015,reg,Nashville SC
899,Jon Kempin,CLB,GK,3,3,270,11,6,5,1.67,0/0,1,1,1,0,33.3,54.5,2015,reg,Columbus Crew SC
900,Zac MacMath,RSL,GK,3,3,270,12,6,5,1.67,0/0,1,2,0,1,33.3,50.0,2015,reg,Real Salt Lake
901,Josh Ford,ORL,GK,2,1,96,6,5,1,1.0,1/1,0,1,0,0,0.0,83.3,2015,reg,Orlando City SC
902,Travis Worra,DC,GK,1,0,32,1,1,0,0.0,0/0,1,0,0,0,100.0,100.0,2015,reg,DC United
903,Alec Kann,ATL,GK,1,1,90,8,6,2,2.0,1/1,0,1,0,0,0.0,75.0,2015,reg,Atlanta United FC
904,Ryan Meara,RBNY,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2015,reg,
905,Andrew Weber,POR,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2015,reg,Portland Timbers
906,Kyle Reynish,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New York Red Bulls
907,Kristian Nicht,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,CF Montreal
908,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Portland Timbers
909,Brian Perk,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,LA Galaxy
910,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Vancouver Whitecaps
911,Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,DC United
912,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Houston Dynamo FC
913,Santiago Castaño,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New York Red Bulls
914,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New York City FC
915,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Vancouver Whitecaps
916,Eirik Johansen,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New York City FC
917,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Vancouver Whitecaps
918,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Columbus Crew SC
919,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Toronto FC
920,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Real Salt Lake
921,Akira Fitzgerald,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New York City FC
922,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Seattle Sounders FC
923,Alex Bono,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Toronto FC
924,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Vancouver Whitecaps
925,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,Colorado Rapids
926,Trevor Spangenberg,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,New England Revolution
927,Andrew Wolverton,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,LA Galaxy
928,Tomas Gomez,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,San Jose Earthquakes
929,David Bingham,LA,GK,34,34,3015,146,106,39,1.15,4/4,8,12,14,8,23.5,72.6,2016,reg,LA Galaxy
930,Joe Bendik,PHI,GK,34,34,3060,178,114,60,1.76,4/7,9,11,14,5,26.5,64.0,2016,reg,Philadelphia Union
931,Luis Robles,MIA,GK,34,34,3060,143,100,44,1.29,3/4,16,9,9,11,47.1,69.9,2016,reg,Inter Miami CF
932,Evan Bush,MTL,GK,33,33,2931,155,101,50,1.52,4/5,11,11,11,6,33.3,65.2,2016,reg,CF Montreal
933,David Ousted,VAN,GK,33,33,2970,166,110,52,1.58,6/8,10,15,8,6,30.3,66.3,2016,reg,Vancouver Whitecaps
934,Josh Saunders,NYC,GK,33,33,2970,158,98,56,1.7,5/6,14,10,9,8,42.4,62.0,2016,reg,New York City FC
935,Stefan Frei,SEA,GK,33,33,2970,137,91,41,1.24,6/8,14,13,6,8,42.4,66.4,2016,reg,Seattle Sounders FC
936,Steve Clark,POR,GK,32,32,2880,161,112,51,1.59,4/5,8,12,12,8,25.0,69.6,2016,reg,Portland Timbers
937,Andre Blake,PHI,GK,32,32,2880,150,99,50,1.56,0/1,10,13,9,6,31.3,66.0,2016,reg,Philadelphia Union
938,Brian Rowe ,ORL,GK,31,30,2765,148,113,33,1.1,2/3,12,5,14,9,38.7,76.4,2016,reg,Orlando City SC
939,Nick Rimando,RSL,GK,30,30,2700,137,91,40,1.33,3/5,11,9,10,6,36.7,66.4,2016,reg,Real Salt Lake
940,Jake Gleeson,POR,GK,28,27,2470,160,118,40,1.48,6/6,11,11,6,6,39.3,73.8,2016,reg,Portland Timbers
941,Chris Seitz,DC,GK,28,28,2520,95,63,29,1.04,3/4,14,5,9,10,50.0,66.3,2016,reg,DC United
942,Tim Melia,SKC,GK,27,27,2430,95,66,30,1.11,3/4,11,11,5,8,40.7,69.5,2016,reg,Sporting Kansas City
943,Joe Willis,NSH,GK,26,24,2275,129,89,39,1.63,5/6,5,12,9,5,19.2,69.0,2016,reg,Nashville SC
944,Sean Johnson,NYC,GK,22,22,1980,106,68,37,1.68,1/1,6,10,6,5,27.3,64.2,2016,reg,New York City FC
945,Bobby Shuttleworth,CHI,GK,21,20,1814,89,50,38,1.9,4/6,4,9,8,5,19.0,56.2,2016,reg,Chicago Fire FC
946,Bill Hamid,DC,GK,20,20,1800,93,68,25,1.25,3/3,8,3,9,5,40.0,73.1,2016,reg,DC United
947,Clint Irwin,COL,GK,19,19,1690,76,50,23,1.21,2/2,6,6,6,6,31.6,65.8,2016,reg,Colorado Rapids
948,Tim Howard,COL,GK,17,17,1530,73,54,19,1.12,4/7,6,3,8,7,35.3,74.0,2016,reg,Colorado Rapids
949,Zac MacMath,RSL,GK,17,17,1530,57,39,13,0.76,0/1,9,3,5,6,52.9,68.4,2016,reg,Real Salt Lake
950,Alex Bono,TOR,GK,16,15,1370,60,42,16,1.07,1/1,8,3,5,4,50.0,70.0,2016,reg,Toronto FC
951,Brad Knighton,NE,GK,13,13,1153,49,31,16,1.23,3/3,6,5,1,2,46.2,63.3,2016,reg,New England Revolution
952,Travis Worra,DC,GK,13,13,1170,52,34,18,1.38,0/0,3,6,4,4,23.1,65.4,2016,reg,DC United
953,Matt Lampson,CLB,GK,11,11,990,76,55,18,1.64,1/1,1,6,4,3,9.1,72.4,2016,reg,Columbus Crew SC
954,Tyler Deric,HOU,GK,10,10,772,37,31,6,0.6,0/0,2,2,4,4,20.0,83.8,2016,reg,Houston Dynamo FC
955,Adam Kwarasey,POR,GK,7,7,590,31,19,13,1.86,1/1,1,3,2,0,14.3,61.3,2016,reg,Portland Timbers
956,Alec Kann,ATL,GK,7,7,630,28,17,11,1.57,0/0,2,2,3,2,28.6,60.7,2016,reg,Atlanta United FC
957,Jesse Gonzalez,DAL,GK,6,6,540,22,12,11,1.83,0/0,3,3,0,2,50.0,54.5,2016,reg,FC Dallas
958,Jeff Attinella,POR,GK,4,4,360,13,8,6,1.5,1/1,1,3,0,0,25.0,61.5,2016,reg,Portland Timbers
959,Dan Kennedy,LA,GK,3,2,115,7,4,3,1.5,0/0,0,0,1,0,0.0,57.1,2016,reg,LA Galaxy
960,Eric Kronberg,MTL,GK,2,1,128,5,2,3,3.0,1/1,0,0,1,0,0.0,40.0,2016,reg,CF Montreal
961,Clement Diop,MTL,GK,2,2,180,15,11,3,1.5,1/1,0,1,1,0,0.0,73.3,2016,reg,CF Montreal
962,Brad Stuver,NYC,GK,2,2,180,15,8,7,3.5,0/1,0,2,0,0,0.0,53.3,2016,reg,New York City FC
963,Andrew Tarbell,CLB,GK,1,0,45,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0,2016,reg,Columbus Crew SC
964,Patrick McLain,CHI,GK,1,1,90,6,3,3,3.0,1/1,0,1,0,0,0.0,50.0,2016,reg,Chicago Fire FC
965,John McCarthy,MIA,GK,1,1,90,5,3,3,3.0,0/0,0,1,0,0,0.0,60.0,2016,reg,Inter Miami CF
966,Matt Jones,PHI,GK,1,1,90,5,2,2,2.0,0/0,1,0,0,0,100.0,40.0,2016,reg,Philadelphia Union
967,Tyler Miller,MIN,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,2016,reg,Minnesota United FC
968,Cody Cropper,HOU,GK,1,1,90,2,2,0,0.0,0/0,1,0,0,1,100.0,100.0,2016,reg,Houston Dynamo FC
969,Eirik Johansen,NYC,GK,1,1,90,6,5,1,1.0,0/0,1,0,0,0,100.0,83.3,2016,reg,New York City FC
970,Paolo Tornaghi,VAN,GK,1,1,90,6,6,0,0.0,0/0,0,0,1,1,0.0,100.0,2016,reg,Vancouver Whitecaps
971,Andrew Dykstra,DC,GK,1,1,90,7,3,4,4.0,1/1,0,1,0,0,0.0,42.9,2016,reg,DC United
972,Chris Konopka,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Portland Timbers
973,Tally Hall,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,DC United
974,Kyle Reynish,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,
975,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Vancouver Whitecaps
976,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,
977,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Toronto FC
978,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Real Salt Lake
979,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Columbus Crew SC
980,Zack Steffen,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Columbus Crew SC
981,Charlie Horton,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,DC United
982,Ryan Herman,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,FC Dallas
983,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Vancouver Whitecaps
984,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Colorado Rapids
985,Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,DC United
986,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Vancouver Whitecaps
987,Chris Froschauer,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Colorado Rapids
988,Matt Pacifici,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Columbus Crew SC
989,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Colorado Rapids
990,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,New England Revolution
991,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Seattle Sounders FC
992,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Houston Dynamo FC
993,Wade Hamilton,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Portland Timbers
994,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2016,reg,Orlando City SC
995,Luis Robles,MIA,GK,34,34,3060,149,99,47,1.38,8/9,14,12,8,10,41.2,66.4,2017,reg,Inter Miami CF
996,Zack Steffen,CLB,GK,34,34,3060,150,98,49,1.44,4/7,16,12,6,9,47.1,65.3,2017,reg,Columbus Crew SC
997,Bobby Shuttleworth,CHI,GK,33,32,2838,174,116,60,1.88,6/8,10,16,5,5,30.3,66.7,2017,reg,Chicago Fire FC
998,Stefan Frei,SEA,GK,33,33,2970,121,84,36,1.09,5/6,13,9,11,13,39.4,69.4,2017,reg,Seattle Sounders FC
999,Joe Bendik,PHI,GK,33,33,2970,173,118,52,1.58,4/5,10,14,9,7,30.3,68.2,2017,reg,Philadelphia Union
1000,Sean Johnson,NYC,GK,32,32,2880,137,96,39,1.22,3/4,15,8,9,7,46.9,70.1,2017,reg,New York City FC
1001,Tim Melia,SKC,GK,31,31,2759,116,91,24,0.77,2/5,12,7,11,10,38.7,78.4,2017,reg,Sporting Kansas City
1002,Evan Bush,MTL,GK,31,31,2790,136,84,50,1.61,3/3,11,14,6,5,35.5,61.8,2017,reg,CF Montreal
1003,Alex Bono,TOR,GK,29,28,2570,104,72,32,1.14,3/5,19,4,6,10,65.5,69.2,2017,reg,Toronto FC
1004,Jesse Gonzalez,DAL,GK,29,29,2610,118,75,40,1.38,1/1,8,8,13,9,27.6,63.6,2017,reg,FC Dallas
1005,David Ousted,VAN,GK,28,28,2453,132,90,39,1.39,4/4,13,8,6,6,46.4,68.2,2017,reg,Vancouver Whitecaps
1006,Nick Rimando,RSL,GK,28,28,2488,110,73,33,1.18,1/3,13,10,5,8,46.4,66.4,2017,reg,Real Salt Lake
1007,Cody Cropper,HOU,GK,28,28,2520,124,71,50,1.79,4/4,10,14,4,8,35.7,57.3,2017,reg,Houston Dynamo FC
1008,Tyler Deric,HOU,GK,26,26,2340,109,76,31,1.19,2/2,10,6,10,6,38.5,69.7,2017,reg,Houston Dynamo FC
1009,Andre Blake,PHI,GK,26,26,2340,125,88,34,1.31,4/5,9,10,7,9,34.6,70.4,2017,reg,Philadelphia Union
1010,Tim Howard,COL,GK,25,25,2250,126,84,39,1.56,5/6,7,14,4,5,28.0,66.7,2017,reg,Colorado Rapids
1011,Bill Hamid,DC,GK,24,24,2160,132,98,35,1.46,3/4,8,12,4,6,33.3,74.2,2017,reg,DC United
1012,Matt Lampson,CLB,GK,24,24,2160,91,58,31,1.29,3/3,12,7,5,8,50.0,63.7,2017,reg,Columbus Crew SC
1013,David Bingham,LA,GK,23,23,2070,94,58,35,1.52,2/2,9,9,5,7,39.1,61.7,2017,reg,LA Galaxy
1014,Jake Gleeson,POR,GK,21,21,1818,83,52,30,1.43,3/3,8,6,6,3,38.1,62.7,2017,reg,Portland Timbers
1015,Alec Kann,ATL,GK,18,18,1620,83,56,25,1.39,4/4,8,7,3,4,44.4,67.5,2017,reg,Atlanta United FC
1016,Clement Diop,MTL,GK,15,15,1331,89,54,31,2.07,1/1,4,8,3,2,26.7,60.7,2017,reg,CF Montreal
1017,Brian Rowe ,ORL,GK,14,12,1157,60,35,23,1.92,2/2,3,6,4,2,21.4,58.3,2017,reg,Orlando City SC
1018,Jeff Attinella,POR,GK,14,13,1242,64,45,20,1.54,0/1,7,5,2,4,50.0,70.3,2017,reg,Portland Timbers
1019,Brad Guzan,ATL,GK,14,14,1260,47,38,10,0.71,1/1,6,1,7,8,42.9,80.9,2017,reg,Atlanta United FC
1020,Andrew Tarbell,CLB,GK,11,11,990,65,40,25,2.27,0/1,4,5,2,2,36.4,61.5,2017,reg,Columbus Crew SC
1021,Zac MacMath,RSL,GK,9,9,810,40,27,12,1.33,2/2,2,5,2,1,22.2,67.5,2017,reg,Real Salt Lake
1022,Joe Willis,NSH,GK,8,8,720,31,17,14,1.75,1/1,3,4,1,2,37.5,54.8,2017,reg,Nashville SC
1023,Jorge Rodrigo Bava,CHI,GK,8,8,720,31,20,12,1.5,0/0,3,3,2,3,37.5,64.5,2017,reg,Chicago Fire FC
1024,John McCarthy,MIA,GK,8,8,720,49,34,13,1.63,2/2,2,4,2,1,25.0,69.4,2017,reg,Inter Miami CF
1025,Jon Kempin,CLB,GK,7,7,570,40,27,13,1.86,0/2,1,4,1,2,14.3,67.5,2017,reg,Columbus Crew SC
1026,Matt Van Oekel,RSL,GK,7,6,572,47,25,22,3.67,1/1,0,5,1,1,0.0,53.2,2017,reg,Real Salt Lake
1027,Clint Irwin,COL,GK,6,6,490,18,13,5,0.83,0/1,1,1,3,2,16.7,72.2,2017,reg,Colorado Rapids
1028,Brad Knighton,NE,GK,6,6,540,31,20,11,1.83,1/1,3,1,2,1,50.0,64.5,2017,reg,New England Revolution
1029,Chris Seitz,DC,GK,5,5,450,20,12,8,1.6,2/3,3,2,0,0,60.0,60.0,2017,reg,DC United
1030,Stefan Marinovic,VAN,GK,5,5,450,27,21,5,1.0,0/1,2,2,1,1,40.0,77.8,2017,reg,Vancouver Whitecaps
1031,Steve Clark,POR,GK,5,5,450,27,13,11,2.2,2/3,1,3,1,1,20.0,48.1,2017,reg,Portland Timbers
1032,Travis Worra,DC,GK,5,5,450,26,11,14,2.8,0/0,0,5,0,0,0.0,42.3,2017,reg,DC United
1033,Andrew Dykstra,KC,GK,4,3,301,14,10,5,1.67,0/0,0,2,2,1,0.0,71.4,2017,reg,
1034,John Alvbage,MIN,GK,3,2,222,15,5,10,5.0,1/1,0,2,1,0,0.0,33.3,2017,reg,Minnesota United FC
1035,Maxime Crepeau,VAN,GK,3,3,270,19,10,8,2.67,1/2,0,3,0,0,0.0,52.6,2017,reg,Vancouver Whitecaps
1036,Kyle Reynish,ATL,GK,2,2,150,5,2,3,1.5,0/0,1,0,0,0,50.0,40.0,2017,reg,Atlanta United FC
1037,Richard Sanchez,SKC,GK,2,2,180,15,11,4,2.0,0/0,1,1,0,0,50.0,73.3,2017,reg,Sporting Kansas City
1038,Eirik Johansen,NYC,GK,2,2,180,7,3,4,2.0,0/0,1,1,0,0,50.0,42.9,2017,reg,New York City FC
1039,Alexander Tambakis,ATL,GK,1,0,28,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2017,reg,Atlanta United FC
1040,Paolo Tornaghi,VAN,GK,1,0,65,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2017,reg,Vancouver Whitecaps
1041,Earl Edwards Jr.,DC,GK,1,1,90,7,1,6,6.0,0/0,0,1,0,0,0.0,14.3,2017,reg,DC United
1042,Spencer Richey,CIN,GK,1,1,90,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2017,reg,FC Cincinnati
1043,Tyler Miller,MIN,GK,1,1,90,8,5,3,3.0,0/0,1,0,0,0,100.0,62.5,2017,reg,Minnesota United FC
1044,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,San Jose Earthquakes
1045,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Colorado Rapids
1046,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Houston Dynamo FC
1047,Jacob Lissek,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,FC Dallas
1048,Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Nashville SC
1049,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Orlando City SC
1050,Connor Sparrow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Chicago Fire FC
1051,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Colorado Rapids
1052,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,New England Revolution
1053,Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,FC Dallas
1054,Evan Louro,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,New York Red Bulls
1055,Eric Klenofsky,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,DC United
1056,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Seattle Sounders FC
1057,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Columbus Crew SC
1058,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Minnesota United FC
1059,Cody Mizell,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Colorado Rapids
1060,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,New York City FC
1061,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Real Salt Lake
1062,Patrick McLain,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Minnesota United FC
1063,Mark Pais,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Toronto FC
1064,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,
1065,Josh Saunders,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Orlando City SC
1066,Eric Kronberg,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,CF Montreal
1067,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,Vancouver Whitecaps
1068,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,
1069,Jimmy Maurer,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2017,reg,FC Dallas
1070,Tim Melia,SKC,GK,34,34,3060,148,106,40,1.18,5/8,18,8,8,13,52.9,71.6,2018,reg,Sporting Kansas City
1071,David Bingham,LA,GK,34,34,3060,186,121,64,1.88,6/8,13,12,9,8,38.2,65.1,2018,reg,LA Galaxy
1072,Evan Bush,MTL,GK,34,34,3060,184,132,53,1.56,6/8,14,16,4,10,41.2,71.7,2018,reg,CF Montreal
1073,Tim Howard,COL,GK,33,33,2900,179,119,58,1.76,3/3,8,17,7,6,24.2,66.5,2018,reg,Colorado Rapids
1074,Brad Guzan,ATL,GK,33,33,2914,123,81,41,1.24,6/7,20,6,6,8,60.6,65.9,2018,reg,Atlanta United FC
1075,Nick Rimando,RSL,GK,33,33,2925,165,103,57,1.73,5/7,13,13,7,7,39.4,62.4,2018,reg,Real Salt Lake
1076,Stefan Frei,SEA,GK,33,33,2970,150,114,34,1.03,2/2,18,10,5,7,54.5,76.0,2018,reg,Seattle Sounders FC
1077,Andre Blake,PHI,GK,33,33,2970,170,118,50,1.52,8/8,14,14,5,10,42.4,69.4,2018,reg,Philadelphia Union
1078,Tyler Miller,MIN,GK,33,33,2970,169,114,50,1.52,5/7,16,8,9,10,48.5,67.5,2018,reg,Minnesota United FC
1079,Sean Johnson,NYC,GK,32,32,2880,141,100,41,1.28,1/3,15,10,7,10,46.9,70.9,2018,reg,New York City FC
1080,Luis Robles,MIA,GK,31,31,2790,115,84,30,0.97,2/3,21,6,4,14,67.7,73.0,2018,reg,Inter Miami CF
1081,Andrew Tarbell,CLB,GK,29,29,2610,152,87,60,2.07,1/2,4,17,8,1,13.8,57.2,2018,reg,Columbus Crew SC
1082,Zack Steffen,CLB,GK,29,29,2610,103,66,37,1.28,4/4,12,10,7,10,41.4,64.1,2018,reg,Columbus Crew SC
1083,Alex Bono,TOR,GK,27,27,2430,137,90,45,1.67,5/6,9,12,6,3,33.3,65.7,2018,reg,Toronto FC
1084,Matt Turner,NE,GK,27,27,2430,126,83,42,1.56,3/4,8,10,9,5,29.6,65.9,2018,reg,New England Revolution
1085,Joe Willis,NSH,GK,26,26,2340,124,82,42,1.62,5/7,9,11,6,4,34.6,66.1,2018,reg,Nashville SC
1086,Richard Sanchez,SKC,GK,25,24,2207,128,79,47,1.96,4/4,6,13,6,3,24.0,61.7,2018,reg,Sporting Kansas City
1087,Joe Bendik,PHI,GK,25,24,2218,142,84,58,2.42,5/6,6,17,2,1,24.0,59.2,2018,reg,Philadelphia Union
1088,Bobby Shuttleworth,CHI,GK,25,25,2250,155,103,51,2.04,4/4,9,13,3,2,36.0,66.5,2018,reg,Chicago Fire FC
1089,Stefan Marinovic,VAN,GK,24,24,2160,112,65,45,1.88,7/9,10,10,4,2,41.7,58.0,2018,reg,Vancouver Whitecaps
1090,Jeff Attinella,POR,GK,22,22,1944,85,64,23,1.05,1/1,10,5,5,7,45.5,75.3,2018,reg,Portland Timbers
1091,Jesse Gonzalez,DAL,GK,21,21,1890,92,63,28,1.33,3/5,11,7,3,6,52.4,68.5,2018,reg,FC Dallas
1092,David Ousted,DC,GK,17,17,1530,81,48,32,1.88,1/2,4,7,6,0,23.5,59.3,2018,reg,DC United
1093,Bill Hamid,DC,GK,14,14,1260,63,51,12,0.86,0/0,9,2,3,5,64.3,81.0,2018,reg,DC United
1094,Jimmy Maurer,DAL,GK,13,13,1170,47,32,16,1.23,2/2,5,2,6,4,38.5,68.1,2018,reg,FC Dallas
